data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
CharacterTrajectories,256,3,0.4,5,3.0,True,True,True,True,0.9679665565490723,0.98591548204422,35128.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_46_37
CharacterTrajectories,256,3,0.4,10,3.0,True,True,True,True,0.9735376238822937,0.9683098793029785,35019.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_56_06
CharacterTrajectories,256,3,0.4,14,3.0,True,True,True,True,0.976323127746582,0.9788732528686523,35029.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch14_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_05_03
CharacterTrajectories,256,3,0.4,19,3.0,True,True,True,True,0.9860724210739136,0.9894366264343262,35064.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch19_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_14_22
CharacterTrajectories,256,3,0.4,28,3.0,True,True,True,True,0.9867687821388245,0.9788732528686523,35133.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch28_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_24_41
CharacterTrajectories,256,3,0.4,37,3.0,True,True,True,True,0.9839832782745361,0.9788732528686523,35211.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch37_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_33_53
CharacterTrajectories,256,3,0.4,46,3.0,True,True,True,True,0.9596100449562073,0.9647887349128723,35295.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch46_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_42_47
CharacterTrajectories,256,3,0.4,5,2.0,True,True,True,True,0.9575209021568298,0.9577465057373047,23590.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_51_04
CharacterTrajectories,256,3,0.4,10,2.0,True,True,True,True,0.9693593382835388,0.9718309640884399,23481.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_59_22
CharacterTrajectories,256,3,0.4,14,2.0,True,True,True,True,0.9874652028083801,0.9718309640884399,23491.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch14_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_06_34
CharacterTrajectories,256,3,0.4,19,2.0,True,True,True,True,0.961002767086029,0.9718309640884399,23526.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch19_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_14_03
CharacterTrajectories,256,3,0.4,28,2.0,True,True,True,True,0.9874652028083801,0.9929577708244324,23595.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch28_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_21_40
CharacterTrajectories,256,3,0.4,37,2.0,True,True,True,True,0.9735376238822937,0.9788732528686523,23673.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch37_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_29_21
CharacterTrajectories,256,3,0.4,46,2.0,True,True,True,True,0.9777158498764038,0.9894366264343262,23757.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch46_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_37_33
CharacterTrajectories,256,3,0.4,5,1.0,True,True,True,True,0.964484691619873,0.9753521084785461,12052.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_06_45_02
CharacterTrajectories,256,3,0.4,10,1.0,True,True,True,True,0.9707520604133606,0.9612675905227661,11943.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_06_51_57
CharacterTrajectories,256,3,0.4,14,1.0,True,True,True,True,0.9798049926757812,0.9788732528686523,11953.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch14_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_06_59_08
CharacterTrajectories,256,3,0.4,19,1.0,True,True,True,True,0.9798049926757812,0.9683098793029785,11988.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch19_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_07_29
CharacterTrajectories,256,3,0.4,28,1.0,True,True,True,True,0.9811977744102478,0.9788732528686523,12057.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch28_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_17_12
CharacterTrajectories,256,3,0.4,37,1.0,True,True,True,True,0.984679639339447,0.9823943376541138,12135.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch37_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_26_01
CharacterTrajectories,256,3,0.4,46,1.0,True,True,True,True,0.984679639339447,0.9788732528686523,12219.63671875,CharacterTrajectories_dim256_depth3_mask0.4_patch46_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_34_55
CharacterTrajectories,128,3,0.4,5,3.0,True,True,True,True,0.9616991877555847,0.9718309640884399,8951.94921875,CharacterTrajectories_dim128_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_07_43_01
CharacterTrajectories,128,3,0.4,10,3.0,True,True,True,True,0.9777158498764038,0.9788732528686523,8897.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_07_53_10
CharacterTrajectories,128,3,0.4,14,3.0,True,True,True,True,0.9805014133453369,0.98591548204422,8902.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch14_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_02_20
CharacterTrajectories,128,3,0.4,19,3.0,True,True,True,True,0.9860724210739136,0.9929577708244324,8919.94921875,CharacterTrajectories_dim128_depth3_mask0.4_patch19_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_10_59
CharacterTrajectories,128,3,0.4,28,3.0,True,True,True,True,0.9832869172096252,0.9929577708244324,8954.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch28_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_19_51
CharacterTrajectories,128,3,0.4,37,3.0,True,True,True,True,0.9888579249382019,0.9894366264343262,8993.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch37_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_28_29
CharacterTrajectories,128,3,0.4,46,3.0,True,True,True,True,0.9693593382835388,0.9683098793029785,9035.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch46_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_37_00
CharacterTrajectories,128,3,0.4,5,2.0,True,True,True,True,0.9791086316108704,0.9788732528686523,6062.94921875,CharacterTrajectories_dim128_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_08_46_26
CharacterTrajectories,128,3,0.4,10,2.0,True,True,True,True,0.9791086316108704,0.9823943376541138,6008.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_08_56_38
CharacterTrajectories,128,3,0.4,14,2.0,True,True,True,True,0.9860724210739136,0.9753521084785461,6013.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch14_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_06_28
CharacterTrajectories,128,3,0.4,19,2.0,True,True,True,True,0.9791086316108704,0.9823943376541138,6030.94921875,CharacterTrajectories_dim128_depth3_mask0.4_patch19_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_15_20
CharacterTrajectories,128,3,0.4,28,2.0,True,True,True,True,0.9770194888114929,0.9823943376541138,6065.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch28_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_25_45
CharacterTrajectories,128,3,0.4,37,2.0,True,True,True,True,0.9867687821388245,0.9683098793029785,6104.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch37_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_36_15
CharacterTrajectories,128,3,0.4,46,2.0,True,True,True,True,0.9860724210739136,0.9929577708244324,6146.44921875,CharacterTrajectories_dim128_depth3_mask0.4_patch46_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_43_53
CharacterTrajectories,128,3,0.4,5,1.0,True,True,True,True,0.9749303460121155,0.9823943376541138,3173.88671875,CharacterTrajectories_dim128_depth3_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_09_52_01
CharacterTrajectories,128,3,0.4,10,1.0,True,True,True,True,0.9853760600090027,0.9788732528686523,3119.38671875,CharacterTrajectories_dim128_depth3_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_09_59_17
CharacterTrajectories,128,3,0.4,14,1.0,True,True,True,True,0.9770194888114929,0.9894366264343262,3124.38671875,CharacterTrajectories_dim128_depth3_mask0.4_patch14_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_10_07_25
CharacterTrajectories,128,3,0.4,19,1.0,True,True,True,True,0.9867687821388245,0.9823943376541138,3141.88671875,CharacterTrajectories_dim128_depth3_mask0.4_patch19_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_10_14_58
CharacterTrajectories,128,3,0.4,28,1.0,True,True,True,True,0.9860724210739136,0.98591548204422,3176.38671875,CharacterTrajectories_dim128_depth3_mask0.4_patch28_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_10_23_23
CharacterTrajectories,128,3,0.4,37,1.0,True,True,True,True,0.9895543456077576,0.9929577708244324,3215.38671875,CharacterTrajectories_dim128_depth3_mask0.4_patch37_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_10_30_50
CharacterTrajectories,128,3,0.4,46,1.0,True,True,True,True,0.9818941354751587,0.9929577708244324,3257.38671875,CharacterTrajectories_dim128_depth3_mask0.4_patch46_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_10_38_12
CharacterTrajectories,64,3,0.4,5,3.0,True,True,True,True,0.9811977744102478,0.9718309640884399,2343.57421875,CharacterTrajectories_dim64_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_10_46_13
CharacterTrajectories,64,3,0.4,10,3.0,True,True,True,True,0.9721448421478271,0.9753521084785461,2316.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_10_53_30
CharacterTrajectories,64,3,0.4,14,3.0,True,True,True,True,0.9798049926757812,0.9823943376541138,2318.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch14_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_01_04
CharacterTrajectories,64,3,0.4,19,3.0,True,True,True,True,0.9909470677375793,0.9823943376541138,2327.57421875,CharacterTrajectories_dim64_depth3_mask0.4_patch19_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_08_16
CharacterTrajectories,64,3,0.4,28,3.0,True,True,True,True,0.9888579249382019,0.98591548204422,2344.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch28_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_15_24
CharacterTrajectories,64,3,0.4,37,3.0,True,True,True,True,0.9853760600090027,0.9894366264343262,2364.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch37_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_24_08
CharacterTrajectories,64,3,0.4,46,3.0,True,True,True,True,0.9860724210739136,0.9753521084785461,2385.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch46_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_31_25
CharacterTrajectories,64,3,0.4,5,2.0,True,True,True,True,0.9777158498764038,0.98591548204422,1619.07421875,CharacterTrajectories_dim64_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_18
CharacterTrajectories,64,3,0.4,10,2.0,True,True,True,True,0.9798049926757812,0.9823943376541138,1591.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_11_45_33
CharacterTrajectories,64,3,0.4,14,2.0,True,True,True,True,0.9791086316108704,0.98591548204422,1594.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch14_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_11_53_01
CharacterTrajectories,64,3,0.4,19,2.0,True,True,True,True,0.9791086316108704,0.98591548204422,1603.07421875,CharacterTrajectories_dim64_depth3_mask0.4_patch19_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_11_59_42
CharacterTrajectories,64,3,0.4,28,2.0,True,True,True,True,0.9874652028083801,0.9823943376541138,1620.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch28_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_06_50
CharacterTrajectories,64,3,0.4,37,2.0,True,True,True,True,0.9874652028083801,0.9788732528686523,1639.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch37_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_13_57
CharacterTrajectories,64,3,0.4,46,2.0,True,True,True,True,0.9805014133453369,0.98591548204422,1660.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch46_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_21_21
CharacterTrajectories,64,3,0.4,5,1.0,True,True,True,True,0.9749303460121155,0.9788732528686523,894.57421875,CharacterTrajectories_dim64_depth3_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_28_21
CharacterTrajectories,64,3,0.4,10,1.0,True,True,True,True,0.9623955488204956,0.9788732528686523,867.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_35_08
CharacterTrajectories,64,3,0.4,14,1.0,True,True,True,True,0.9867687821388245,0.9929577708244324,869.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch14_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_41_59
CharacterTrajectories,64,3,0.4,19,1.0,True,True,True,True,0.9860724210739136,0.98591548204422,878.57421875,CharacterTrajectories_dim64_depth3_mask0.4_patch19_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_49_09
CharacterTrajectories,64,3,0.4,28,1.0,True,True,True,True,0.9811977744102478,0.9823943376541138,895.82421875,CharacterTrajectories_dim64_depth3_mask0.4_patch28_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_55_48
CharacterTrajectories,64,3,0.4,37,1.0,True,True,True,True,0.9944289922714233,0.9964788556098938,915.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch37_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_02_38
CharacterTrajectories,64,3,0.4,46,1.0,True,True,True,True,0.988161563873291,0.98591548204422,936.32421875,CharacterTrajectories_dim64_depth3_mask0.4_patch46_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_08_51
CharacterTrajectories,32,3,0.4,5,3.0,True,True,True,True,0.9637883305549622,0.9683098793029785,659.44921875,CharacterTrajectories_dim32_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_15_01
CharacterTrajectories,32,3,0.4,10,3.0,True,True,True,True,0.972841203212738,0.9788732528686523,645.82421875,CharacterTrajectories_dim32_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_21_23
CharacterTrajectories,32,3,0.4,14,3.0,True,True,True,True,0.9805014133453369,0.9823943376541138,647.07421875,CharacterTrajectories_dim32_depth3_mask0.4_patch14_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_37_37
CharacterTrajectories,32,3,0.4,28,3.0,True,True,True,True,0.9839832782745361,0.98591548204422,660.07421875,CharacterTrajectories_dim32_depth3_mask0.4_patch28_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_02_43
CharacterTrajectories,32,3,0.4,37,3.0,True,True,True,True,0.9832869172096252,0.98591548204422,669.82421875,CharacterTrajectories_dim32_depth3_mask0.4_patch37_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_13_17
CharacterTrajectories,32,3,0.4,46,3.0,True,True,True,True,0.9853760600090027,0.9823943376541138,680.32421875,CharacterTrajectories_dim32_depth3_mask0.4_patch46_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_22_32
CharacterTrajectories,32,3,0.4,5,2.0,True,True,True,True,0.9540389776229858,0.9683098793029785,477.19921875,CharacterTrajectories_dim32_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_31_49
CharacterTrajectories,32,3,0.4,10,2.0,True,True,True,True,0.9700556993484497,0.9612675905227661,463.57421875,CharacterTrajectories_dim32_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_40_11
CharacterTrajectories,32,3,0.4,14,2.0,True,True,True,True,0.9770194888114929,0.98591548204422,464.82421875,CharacterTrajectories_dim32_depth3_mask0.4_patch14_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_47_53
CharacterTrajectories,32,3,0.4,19,2.0,True,True,True,True,0.972841203212738,0.9823943376541138,469.19921875,CharacterTrajectories_dim32_depth3_mask0.4_patch19_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_55_38
CharacterTrajectories,32,3,0.4,28,2.0,True,True,True,True,0.9853760600090027,0.9929577708244324,477.82421875,CharacterTrajectories_dim32_depth3_mask0.4_patch28_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_05_01
CharacterTrajectories,32,3,0.4,37,2.0,True,True,True,True,0.9874652028083801,0.9788732528686523,487.57421875,CharacterTrajectories_dim32_depth3_mask0.4_patch37_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_12_24
CharacterTrajectories,32,3,0.4,46,2.0,True,True,True,True,0.9874652028083801,1.0,498.07421875,CharacterTrajectories_dim32_depth3_mask0.4_patch46_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_19_54
CharacterTrajectories,32,3,0.4,5,1.0,True,True,True,True,0.9749303460121155,0.9788732528686523,294.94921875,CharacterTrajectories_dim32_depth3_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_27_04
CharacterTrajectories,32,3,0.4,10,1.0,True,True,True,True,0.9693593382835388,0.9683098793029785,281.32421875,CharacterTrajectories_dim32_depth3_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_34_22
CharacterTrajectories,32,3,0.4,14,1.0,True,True,True,True,0.9839832782745361,0.9929577708244324,282.57421875,CharacterTrajectories_dim32_depth3_mask0.4_patch14_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_41_36
CharacterTrajectories,32,3,0.4,19,1.0,True,True,True,True,0.9791086316108704,0.98591548204422,286.94921875,CharacterTrajectories_dim32_depth3_mask0.4_patch19_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_48_40
CharacterTrajectories,32,3,0.4,28,1.0,True,True,True,True,0.9805014133453369,0.9753521084785461,295.57421875,CharacterTrajectories_dim32_depth3_mask0.4_patch28_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_56_39
CharacterTrajectories,32,3,0.4,37,1.0,True,True,True,True,0.9867687821388245,0.98591548204422,305.32421875,CharacterTrajectories_dim32_depth3_mask0.4_patch37_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_03_48
CharacterTrajectories,32,3,0.4,46,1.0,True,True,True,True,0.9839832782745361,0.9894366264343262,315.82421875,CharacterTrajectories_dim32_depth3_mask0.4_patch46_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_11_09
CharacterTrajectories,256,2,0.4,5,3.0,True,True,True,True,0.9637883305549622,0.9683098793029785,23548.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_19_56
CharacterTrajectories,256,2,0.4,10,3.0,True,True,True,True,0.972841203212738,0.9823943376541138,23439.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_28_23
CharacterTrajectories,256,2,0.4,14,3.0,True,True,True,True,0.9811977744102478,0.9718309640884399,23449.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch14_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_35_18
CharacterTrajectories,256,2,0.4,19,3.0,True,True,True,True,0.988161563873291,1.0,23484.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch19_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_43_28
CharacterTrajectories,256,2,0.4,28,3.0,True,True,True,True,0.9825905561447144,0.9788732528686523,23553.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch28_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_51_38
CharacterTrajectories,256,2,0.4,37,3.0,True,True,True,True,0.9860724210739136,0.9894366264343262,23631.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch37_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_59_22
CharacterTrajectories,256,2,0.4,46,3.0,True,True,True,True,0.9818941354751587,0.9929577708244324,23715.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch46_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_18_05_56
CharacterTrajectories,256,2,0.4,5,2.0,True,True,True,True,0.9756267666816711,0.9683098793029785,15856.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_13_16
CharacterTrajectories,256,2,0.4,10,2.0,True,True,True,True,0.9686629772186279,0.9718309640884399,15747.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_20_20
CharacterTrajectories,256,2,0.4,14,2.0,True,True,True,True,0.9756267666816711,0.9823943376541138,15757.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch14_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_26_57
CharacterTrajectories,256,2,0.4,19,2.0,True,True,True,True,0.9909470677375793,0.9823943376541138,15792.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch19_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_33_29
CharacterTrajectories,256,2,0.4,28,2.0,True,True,True,True,0.9853760600090027,0.9753521084785461,15861.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch28_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_39_43
CharacterTrajectories,256,2,0.4,37,2.0,True,True,True,True,0.9805014133453369,0.98591548204422,15939.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch37_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_45_57
CharacterTrajectories,256,2,0.4,46,2.0,True,True,True,True,0.9770194888114929,0.9788732528686523,16023.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch46_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_52_10
CharacterTrajectories,256,2,0.4,5,1.0,True,True,True,True,0.972841203212738,0.9683098793029785,8164.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_18_58_43
CharacterTrajectories,256,2,0.4,10,1.0,True,True,True,True,0.9805014133453369,0.98591548204422,8055.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_05_10
CharacterTrajectories,256,2,0.4,14,1.0,True,True,True,True,0.9784122705459595,0.9823943376541138,8065.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch14_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_11_17
CharacterTrajectories,256,2,0.4,19,1.0,True,True,True,True,0.9777158498764038,0.9753521084785461,8100.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch19_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_19_00
CharacterTrajectories,256,2,0.4,28,1.0,True,True,True,True,0.9839832782745361,0.9894366264343262,8169.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch28_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_26_22
CharacterTrajectories,256,2,0.4,37,1.0,True,True,True,True,0.9853760600090027,1.0,8247.23828125,CharacterTrajectories_dim256_depth2_mask0.4_patch37_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_33_27
