data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
Epilepsy,256,3,0.4,6,3.0,True,True,True,True,0.97826087474823,0.97826087474823,35033.697265625,Epilepsy_dim256_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_02
Epilepsy,256,3,0.4,11,3.0,True,True,True,True,0.9855072498321533,0.9855072498321533,34996.697265625,Epilepsy_dim256_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_45_07
Epilepsy,256,3,0.4,16,3.0,True,True,True,True,0.95652174949646,0.95652174949646,35001.697265625,Epilepsy_dim256_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_50_22
Epilepsy,256,3,0.4,21,3.0,True,True,True,True,0.9420289993286133,0.9420289993286133,35033.697265625,Epilepsy_dim256_depth3_mask0.4_patch21_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_56_23
Epilepsy,256,3,0.4,31,3.0,True,True,True,True,0.9202898740768433,0.9202898740768433,35115.697265625,Epilepsy_dim256_depth3_mask0.4_patch31_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_00_26
Epilepsy,256,3,0.4,42,3.0,True,True,True,True,0.9057971239089966,0.9057971239089966,35213.697265625,Epilepsy_dim256_depth3_mask0.4_patch42_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_06_03
Epilepsy,256,3,0.4,52,3.0,True,True,True,True,0.9275362491607666,0.9275362491607666,35307.697265625,Epilepsy_dim256_depth3_mask0.4_patch52_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_11_11
Epilepsy,256,3,0.4,6,2.0,True,True,True,True,0.97826087474823,0.97826087474823,23495.697265625,Epilepsy_dim256_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_15_03
Epilepsy,256,3,0.4,11,2.0,True,True,True,True,0.9855072498321533,0.9855072498321533,23458.697265625,Epilepsy_dim256_depth3_mask0.4_patch11_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_19_23
Epilepsy,256,3,0.4,16,2.0,True,True,True,True,0.9637681245803833,0.9637681245803833,23463.697265625,Epilepsy_dim256_depth3_mask0.4_patch16_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_23_23
Epilepsy,256,3,0.4,21,2.0,True,True,True,True,0.97826087474823,0.97826087474823,23495.697265625,Epilepsy_dim256_depth3_mask0.4_patch21_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_27_20
Epilepsy,256,3,0.4,31,2.0,True,True,True,True,0.95652174949646,0.95652174949646,23577.697265625,Epilepsy_dim256_depth3_mask0.4_patch31_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_30_08
Epilepsy,256,3,0.4,42,2.0,True,True,True,True,0.8840579986572266,0.8840579986572266,23675.697265625,Epilepsy_dim256_depth3_mask0.4_patch42_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_33_56
Epilepsy,256,3,0.4,52,2.0,True,True,True,True,0.9275362491607666,0.9275362491607666,23769.697265625,Epilepsy_dim256_depth3_mask0.4_patch52_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_37_08
Epilepsy,256,3,0.4,6,1.0,True,True,True,True,0.97826087474823,0.97826087474823,11957.697265625,Epilepsy_dim256_depth3_mask0.4_patch6_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_39_51
Epilepsy,256,3,0.4,11,1.0,True,True,True,True,0.97826087474823,0.97826087474823,11920.697265625,Epilepsy_dim256_depth3_mask0.4_patch11_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_43_27
Epilepsy,256,3,0.4,16,1.0,True,True,True,True,0.97826087474823,0.97826087474823,11925.697265625,Epilepsy_dim256_depth3_mask0.4_patch16_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_46_34
Epilepsy,256,3,0.4,21,1.0,True,True,True,True,0.9420289993286133,0.9420289993286133,11957.697265625,Epilepsy_dim256_depth3_mask0.4_patch21_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_49_50
Epilepsy,256,3,0.4,31,1.0,True,True,True,True,0.9275362491607666,0.9275362491607666,12039.697265625,Epilepsy_dim256_depth3_mask0.4_patch31_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_52_23
Epilepsy,256,3,0.4,42,1.0,True,True,True,True,0.9130434989929199,0.9130434989929199,12137.697265625,Epilepsy_dim256_depth3_mask0.4_patch42_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_54_48
Epilepsy,256,3,0.4,52,1.0,True,True,True,True,0.9275362491607666,0.9275362491607666,12231.697265625,Epilepsy_dim256_depth3_mask0.4_patch52_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_57_40
Epilepsy,128,3,0.4,6,3.0,True,True,True,True,0.97826087474823,0.97826087474823,8904.509765625,Epilepsy_dim128_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_00_41
Epilepsy,128,3,0.4,11,3.0,True,True,True,True,0.97826087474823,0.97826087474823,8886.009765625,Epilepsy_dim128_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_03_35
Epilepsy,128,3,0.4,16,3.0,True,True,True,True,0.95652174949646,0.95652174949646,8888.509765625,Epilepsy_dim128_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_06_14
Epilepsy,128,3,0.4,21,3.0,True,True,True,True,0.9347826242446899,0.9347826242446899,8904.509765625,Epilepsy_dim128_depth3_mask0.4_patch21_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_09_12
Epilepsy,128,3,0.4,31,3.0,True,True,True,True,0.9202898740768433,0.9202898740768433,8945.509765625,Epilepsy_dim128_depth3_mask0.4_patch31_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_11_09
Epilepsy,128,3,0.4,42,3.0,True,True,True,True,0.9130434989929199,0.9130434989929199,8994.509765625,Epilepsy_dim128_depth3_mask0.4_patch42_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_13_57
Epilepsy,128,3,0.4,52,3.0,True,True,True,True,0.8985507488250732,0.8985507488250732,9041.509765625,Epilepsy_dim128_depth3_mask0.4_patch52_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_16_41
Epilepsy,128,3,0.4,6,2.0,True,True,True,True,0.97826087474823,0.97826087474823,6015.509765625,Epilepsy_dim128_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_18_32
Epilepsy,128,3,0.4,11,2.0,True,True,True,True,0.9855072498321533,0.9855072498321533,5997.009765625,Epilepsy_dim128_depth3_mask0.4_patch11_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_21_22
Epilepsy,128,3,0.4,16,2.0,True,True,True,True,0.9637681245803833,0.9637681245803833,5999.509765625,Epilepsy_dim128_depth3_mask0.4_patch16_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_23_22
Epilepsy,128,3,0.4,21,2.0,True,True,True,True,0.9275362491607666,0.9275362491607666,6015.509765625,Epilepsy_dim128_depth3_mask0.4_patch21_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_25_41
Epilepsy,128,3,0.4,31,2.0,True,True,True,True,0.9202898740768433,0.9202898740768433,6056.509765625,Epilepsy_dim128_depth3_mask0.4_patch31_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_27_58
Epilepsy,128,3,0.4,42,2.0,True,True,True,True,0.8913043737411499,0.8913043737411499,6105.509765625,Epilepsy_dim128_depth3_mask0.4_patch42_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_30_14
Epilepsy,128,3,0.4,52,2.0,True,True,True,True,0.8768116235733032,0.8768116235733032,6152.509765625,Epilepsy_dim128_depth3_mask0.4_patch52_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_32_36
Epilepsy,128,3,0.4,6,1.0,True,True,True,True,0.9855072498321533,0.9855072498321533,3126.447265625,Epilepsy_dim128_depth3_mask0.4_patch6_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_34_50
Epilepsy,128,3,0.4,11,1.0,True,True,True,True,0.9855072498321533,0.9855072498321533,3107.947265625,Epilepsy_dim128_depth3_mask0.4_patch11_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_38_13
Epilepsy,128,3,0.4,16,1.0,True,True,True,True,0.97826087474823,0.97826087474823,3110.447265625,Epilepsy_dim128_depth3_mask0.4_patch16_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_41_05
Epilepsy,128,3,0.4,21,1.0,True,True,True,True,0.9420289993286133,0.9420289993286133,3126.447265625,Epilepsy_dim128_depth3_mask0.4_patch21_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_43_32
Epilepsy,128,3,0.4,31,1.0,True,True,True,True,0.9275362491607666,0.9275362491607666,3167.447265625,Epilepsy_dim128_depth3_mask0.4_patch31_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_45_54
Epilepsy,128,3,0.4,42,1.0,True,True,True,True,0.9202898740768433,0.9202898740768433,3216.447265625,Epilepsy_dim128_depth3_mask0.4_patch42_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_48_16
Epilepsy,128,3,0.4,52,1.0,True,True,True,True,0.8913043737411499,0.8913043737411499,3263.447265625,Epilepsy_dim128_depth3_mask0.4_patch52_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_13_50_49
Epilepsy,64,3,0.4,6,3.0,True,True,True,True,0.9855072498321533,0.9855072498321533,2319.884765625,Epilepsy_dim64_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_53_50
Epilepsy,64,3,0.4,11,3.0,True,True,True,True,0.97826087474823,0.97826087474823,2310.634765625,Epilepsy_dim64_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_56_18
Epilepsy,64,3,0.4,16,3.0,True,True,True,True,0.95652174949646,0.95652174949646,2311.884765625,Epilepsy_dim64_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_58_53
Epilepsy,64,3,0.4,21,3.0,True,True,True,True,0.9492753744125366,0.9492753744125366,2319.884765625,Epilepsy_dim64_depth3_mask0.4_patch21_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_01_08
Epilepsy,64,3,0.4,31,3.0,True,True,True,True,0.9202898740768433,0.9202898740768433,2340.384765625,Epilepsy_dim64_depth3_mask0.4_patch31_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_03_23
Epilepsy,64,3,0.4,42,3.0,True,True,True,True,0.8985507488250732,0.8985507488250732,2364.884765625,Epilepsy_dim64_depth3_mask0.4_patch42_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_05_33
Epilepsy,64,3,0.4,52,3.0,True,True,True,True,0.9057971239089966,0.9057971239089966,2388.384765625,Epilepsy_dim64_depth3_mask0.4_patch52_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_07_41
Epilepsy,64,3,0.4,6,2.0,True,True,True,True,0.9855072498321533,0.9855072498321533,1595.384765625,Epilepsy_dim64_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_09_52
Epilepsy,64,3,0.4,11,2.0,True,True,True,True,0.9637681245803833,0.9637681245803833,1586.134765625,Epilepsy_dim64_depth3_mask0.4_patch11_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_11_43
Epilepsy,64,3,0.4,16,2.0,True,True,True,True,0.95652174949646,0.95652174949646,1587.384765625,Epilepsy_dim64_depth3_mask0.4_patch16_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_13_33
Epilepsy,64,3,0.4,21,2.0,True,True,True,True,0.9420289993286133,0.9420289993286133,1595.384765625,Epilepsy_dim64_depth3_mask0.4_patch21_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_15_34
Epilepsy,64,3,0.4,31,2.0,True,True,True,True,0.9202898740768433,0.9202898740768433,1615.884765625,Epilepsy_dim64_depth3_mask0.4_patch31_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_17_13
Epilepsy,64,3,0.4,42,2.0,True,True,True,True,0.9057971239089966,0.9057971239089966,1640.384765625,Epilepsy_dim64_depth3_mask0.4_patch42_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_19_03
Epilepsy,64,3,0.4,52,2.0,True,True,True,True,0.9420289993286133,0.9420289993286133,1663.884765625,Epilepsy_dim64_depth3_mask0.4_patch52_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_20_51
Epilepsy,64,3,0.4,6,1.0,True,True,True,True,1.0,1.0,870.884765625,Epilepsy_dim64_depth3_mask0.4_patch6_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_23_11
Epilepsy,64,3,0.4,11,1.0,True,True,True,True,0.97826087474823,0.97826087474823,861.634765625,Epilepsy_dim64_depth3_mask0.4_patch11_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_24_42
Epilepsy,64,3,0.4,16,1.0,True,True,True,True,0.9275362491607666,0.9275362491607666,862.884765625,Epilepsy_dim64_depth3_mask0.4_patch16_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_27_09
Epilepsy,64,3,0.4,21,1.0,True,True,True,True,0.9420289993286133,0.9420289993286133,870.884765625,Epilepsy_dim64_depth3_mask0.4_patch21_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_28_32
Epilepsy,64,3,0.4,31,1.0,True,True,True,True,0.9057971239089966,0.9057971239089966,891.384765625,Epilepsy_dim64_depth3_mask0.4_patch31_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_30_11
Epilepsy,64,3,0.4,42,1.0,True,True,True,True,0.8840579986572266,0.8840579986572266,915.884765625,Epilepsy_dim64_depth3_mask0.4_patch42_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_31_38
Epilepsy,64,3,0.4,52,1.0,True,True,True,True,0.8840579986572266,0.8840579986572266,939.384765625,Epilepsy_dim64_depth3_mask0.4_patch52_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_33_45
Epilepsy,32,3,0.4,6,3.0,True,True,True,True,0.97826087474823,0.97826087474823,647.634765625,Epilepsy_dim32_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_35_15
Epilepsy,32,3,0.4,11,3.0,True,True,True,True,0.97826087474823,0.97826087474823,643.009765625,Epilepsy_dim32_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_37_11
Epilepsy,32,3,0.4,16,3.0,True,True,True,True,0.9202898740768433,0.9202898740768433,643.634765625,Epilepsy_dim32_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_39_16
Epilepsy,32,3,0.4,21,3.0,True,True,True,True,0.9347826242446899,0.9347826242446899,647.634765625,Epilepsy_dim32_depth3_mask0.4_patch21_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_41_57
Epilepsy,32,3,0.4,31,3.0,True,True,True,True,0.8913043737411499,0.8913043737411499,657.884765625,Epilepsy_dim32_depth3_mask0.4_patch31_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_44_11
Epilepsy,32,3,0.4,42,3.0,True,True,True,True,0.8985507488250732,0.8985507488250732,670.134765625,Epilepsy_dim32_depth3_mask0.4_patch42_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_46_08
Epilepsy,32,3,0.4,52,3.0,True,True,True,True,0.8840579986572266,0.8840579986572266,681.884765625,Epilepsy_dim32_depth3_mask0.4_patch52_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_48_33
Epilepsy,32,3,0.4,6,2.0,True,True,True,True,0.9855072498321533,0.9855072498321533,465.384765625,Epilepsy_dim32_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_50_41
