data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
EigenWorms,256,3,0.4,450,3.0,True,True,True,True,0.7175572514533997,0.7175572514533997,43556.759765625,EigenWorms_dim256_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_01
EigenWorms,256,3,0.4,900,3.0,True,True,True,True,0.6183205842971802,0.6183205842971802,51986.759765625,EigenWorms_dim256_depth3_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_48_05
EigenWorms,256,3,0.4,1349,3.0,True,True,True,True,0.6030534505844116,0.6030534505844116,60481.759765625,EigenWorms_dim256_depth3_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_00_27
EigenWorms,256,3,0.4,1799,3.0,True,True,True,True,0.5648854970932007,0.5648854970932007,69007.759765625,EigenWorms_dim256_depth3_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_10_50
EigenWorms,256,3,0.4,2698,3.0,True,True,True,True,0.5114504098892212,0.5114504098892212,86070.759765625,EigenWorms_dim256_depth3_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_25_42
EigenWorms,256,3,0.4,3597,3.0,True,True,True,True,0.5038167834281921,0.5038167834281921,103139.759765625,EigenWorms_dim256_depth3_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_41_28
EigenWorms,256,3,0.4,4496,3.0,True,True,True,True,0.40458014607429504,0.40458014607429504,120214.759765625,EigenWorms_dim256_depth3_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_56_09
EigenWorms,256,3,0.4,450,2.0,True,True,True,True,0.7557252049446106,0.7557252049446106,32018.759765625,EigenWorms_dim256_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_03_56
EigenWorms,256,3,0.4,900,2.0,True,True,True,True,0.7251908183097839,0.7251908183097839,40448.759765625,EigenWorms_dim256_depth3_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_23_45
EigenWorms,256,3,0.4,1349,2.0,True,True,True,True,0.6335877776145935,0.6335877776145935,48943.759765625,EigenWorms_dim256_depth3_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_43_58
EigenWorms,256,3,0.4,1799,2.0,True,True,True,True,0.6030534505844116,0.6030534505844116,57469.759765625,EigenWorms_dim256_depth3_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_57_20
EigenWorms,256,3,0.4,2698,2.0,True,True,True,True,0.49618321657180786,0.49618321657180786,74532.759765625,EigenWorms_dim256_depth3_mask0.4_patch2698_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_21_09
EigenWorms,256,3,0.4,3597,2.0,True,True,True,True,0.45038166642189026,0.45038166642189026,91601.759765625,EigenWorms_dim256_depth3_mask0.4_patch3597_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_36_48
EigenWorms,256,3,0.4,4496,2.0,True,True,True,True,0.40458014607429504,0.40458014607429504,108676.759765625,EigenWorms_dim256_depth3_mask0.4_patch4496_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_47_10
EigenWorms,256,3,0.4,450,1.0,True,True,True,True,0.8015267252922058,0.8015267252922058,20480.759765625,EigenWorms_dim256_depth3_mask0.4_patch450_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_14_55_44
EigenWorms,256,3,0.4,900,1.0,True,True,True,True,0.6793892979621887,0.6793892979621887,28910.759765625,EigenWorms_dim256_depth3_mask0.4_patch900_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_11_44
EigenWorms,256,3,0.4,1349,1.0,True,True,True,True,0.5954198241233826,0.5954198241233826,37405.759765625,EigenWorms_dim256_depth3_mask0.4_patch1349_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_33_03
EigenWorms,256,3,0.4,1799,1.0,True,True,True,True,0.5343511700630188,0.5343511700630188,45931.759765625,EigenWorms_dim256_depth3_mask0.4_patch1799_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_46_45
EigenWorms,256,3,0.4,2698,1.0,True,True,True,True,0.49618321657180786,0.49618321657180786,62994.759765625,EigenWorms_dim256_depth3_mask0.4_patch2698_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_00_47
EigenWorms,256,3,0.4,3597,1.0,True,True,True,True,0.4885496199131012,0.4885496199131012,80063.759765625,EigenWorms_dim256_depth3_mask0.4_patch3597_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_14_09
EigenWorms,256,3,0.4,4496,1.0,True,True,True,True,0.4122137427330017,0.4122137427330017,97138.759765625,EigenWorms_dim256_depth3_mask0.4_patch4496_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_24_14
EigenWorms,128,3,0.4,450,3.0,True,True,True,True,0.7862595319747925,0.7862595319747925,13166.009765625,EigenWorms_dim128_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_30_49
EigenWorms,128,3,0.4,900,3.0,True,True,True,True,0.6793892979621887,0.6793892979621887,17381.009765625,EigenWorms_dim128_depth3_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_46_16
EigenWorms,128,3,0.4,1349,3.0,True,True,True,True,0.6259542107582092,0.6259542107582092,21628.509765625,EigenWorms_dim128_depth3_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_02_42
EigenWorms,128,3,0.4,1799,3.0,True,True,True,True,0.5648854970932007,0.5648854970932007,25891.509765625,EigenWorms_dim128_depth3_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_21_14
EigenWorms,128,3,0.4,2698,3.0,True,True,True,True,0.5190839767456055,0.5190839767456055,34423.009765625,EigenWorms_dim128_depth3_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_38_56
EigenWorms,128,3,0.4,3597,3.0,True,True,True,True,0.48091602325439453,0.48091602325439453,42957.509765625,EigenWorms_dim128_depth3_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_56_46
EigenWorms,128,3,0.4,4496,3.0,True,True,True,True,0.4656488597393036,0.4656488597393036,51495.009765625,EigenWorms_dim128_depth3_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_18_04_29
EigenWorms,128,3,0.4,450,2.0,True,True,True,True,0.7862595319747925,0.7862595319747925,10277.072265625,EigenWorms_dim128_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_09_18
EigenWorms,128,3,0.4,900,2.0,True,True,True,True,0.6793892979621887,0.6793892979621887,14492.009765625,EigenWorms_dim128_depth3_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_29_51
EigenWorms,128,3,0.4,1349,2.0,True,True,True,True,0.6335877776145935,0.6335877776145935,18739.509765625,EigenWorms_dim128_depth3_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_53_11
EigenWorms,128,3,0.4,1799,2.0,True,True,True,True,0.5954198241233826,0.5954198241233826,23002.509765625,EigenWorms_dim128_depth3_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_19_09_46
EigenWorms,128,3,0.4,2698,2.0,True,True,True,True,0.49618321657180786,0.49618321657180786,31534.009765625,EigenWorms_dim128_depth3_mask0.4_patch2698_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_19_29_30
EigenWorms,128,3,0.4,3597,2.0,True,True,True,True,0.49618321657180786,0.49618321657180786,40068.509765625,EigenWorms_dim128_depth3_mask0.4_patch3597_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_19_38_33
EigenWorms,128,3,0.4,4496,2.0,True,True,True,True,0.45038166642189026,0.45038166642189026,48606.009765625,EigenWorms_dim128_depth3_mask0.4_patch4496_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_19_47_07
EigenWorms,128,3,0.4,450,1.0,True,True,True,True,0.8015267252922058,0.8015267252922058,7387.947265625,EigenWorms_dim128_depth3_mask0.4_patch450_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_52_23
EigenWorms,128,3,0.4,900,1.0,True,True,True,True,0.6870229244232178,0.6870229244232178,11602.947265625,EigenWorms_dim128_depth3_mask0.4_patch900_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_04_55
EigenWorms,128,3,0.4,1349,1.0,True,True,True,True,0.5648854970932007,0.5648854970932007,15850.447265625,EigenWorms_dim128_depth3_mask0.4_patch1349_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_24_51
EigenWorms,128,3,0.4,1799,1.0,True,True,True,True,0.6106870174407959,0.6106870174407959,20113.447265625,EigenWorms_dim128_depth3_mask0.4_patch1799_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_39_46
EigenWorms,128,3,0.4,2698,1.0,True,True,True,True,0.5038167834281921,0.5038167834281921,28644.947265625,EigenWorms_dim128_depth3_mask0.4_patch2698_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_55_16
EigenWorms,128,3,0.4,3597,1.0,True,True,True,True,0.48091602325439453,0.48091602325439453,37179.447265625,EigenWorms_dim128_depth3_mask0.4_patch3597_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_21_16_42
EigenWorms,128,3,0.4,4496,1.0,True,True,True,True,0.4198473393917084,0.4198473393917084,45716.947265625,EigenWorms_dim128_depth3_mask0.4_patch4496_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_21_36_17
EigenWorms,64,3,0.4,450,3.0,True,True,True,True,0.7786259651184082,0.7786259651184082,4450.634765625,EigenWorms_dim64_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_49_26
EigenWorms,64,3,0.4,900,3.0,True,True,True,True,0.694656491279602,0.694656491279602,6558.134765625,EigenWorms_dim64_depth3_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_22_28_24
EigenWorms,64,3,0.4,1349,3.0,True,True,True,True,0.6488549709320068,0.6488549709320068,8681.947265625,EigenWorms_dim64_depth3_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_23_28_20
EigenWorms,64,3,0.4,1799,3.0,True,True,True,True,0.5572519302368164,0.5572519302368164,10813.447265625,EigenWorms_dim64_depth3_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_00_30_42
EigenWorms,64,3,0.4,2698,3.0,True,True,True,True,0.5114504098892212,0.5114504098892212,15079.197265625,EigenWorms_dim64_depth3_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_01_22_39
EigenWorms,64,3,0.4,3597,3.0,True,True,True,True,0.49618321657180786,0.49618321657180786,19346.447265625,EigenWorms_dim64_depth3_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_01_56_15
EigenWorms,64,3,0.4,4496,3.0,True,True,True,True,0.4351145029067993,0.4351145029067993,23615.197265625,EigenWorms_dim64_depth3_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_02_19_14
EigenWorms,64,3,0.4,450,2.0,True,True,True,True,0.7709923386573792,0.7709923386573792,3726.134765625,EigenWorms_dim64_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_02_35_38
EigenWorms,64,3,0.4,900,2.0,True,True,True,True,0.6641221642494202,0.6641221642494202,5833.634765625,EigenWorms_dim64_depth3_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_03_14_19
EigenWorms,64,3,0.4,1349,2.0,True,True,True,True,0.6488549709320068,0.6488549709320068,7957.447265625,EigenWorms_dim64_depth3_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_04_06_03
EigenWorms,64,3,0.4,1799,2.0,True,True,True,True,0.5648854970932007,0.5648854970932007,10088.947265625,EigenWorms_dim64_depth3_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_04_52_33
EigenWorms,64,3,0.4,2698,2.0,True,True,True,True,0.5190839767456055,0.5190839767456055,14354.697265625,EigenWorms_dim64_depth3_mask0.4_patch2698_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_31_51
EigenWorms,64,3,0.4,3597,2.0,True,True,True,True,0.4656488597393036,0.4656488597393036,18621.947265625,EigenWorms_dim64_depth3_mask0.4_patch3597_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_07_20
EigenWorms,64,3,0.4,4496,2.0,True,True,True,True,0.4122137427330017,0.4122137427330017,22890.697265625,EigenWorms_dim64_depth3_mask0.4_patch4496_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_23_28
EigenWorms,64,3,0.4,450,1.0,True,True,True,True,0.7633587718009949,0.7633587718009949,3001.634765625,EigenWorms_dim64_depth3_mask0.4_patch450_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_06_38_53
EigenWorms,64,3,0.4,900,1.0,True,True,True,True,0.6793892979621887,0.6793892979621887,5109.197265625,EigenWorms_dim64_depth3_mask0.4_patch900_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_15_45
EigenWorms,64,3,0.4,1349,1.0,True,True,True,True,0.5877862572669983,0.5877862572669983,7232.947265625,EigenWorms_dim64_depth3_mask0.4_patch1349_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_08_21_01
EigenWorms,64,3,0.4,1799,1.0,True,True,True,True,0.5496183037757874,0.5496183037757874,9364.447265625,EigenWorms_dim64_depth3_mask0.4_patch1799_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_08_50_46
EigenWorms,64,3,0.4,2698,1.0,True,True,True,True,0.4656488597393036,0.4656488597393036,13630.197265625,EigenWorms_dim64_depth3_mask0.4_patch2698_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_09_22_41
EigenWorms,64,3,0.4,3597,1.0,True,True,True,True,0.48091602325439453,0.48091602325439453,17897.447265625,EigenWorms_dim64_depth3_mask0.4_patch3597_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_09_44_44
EigenWorms,64,3,0.4,4496,1.0,True,True,True,True,0.4198473393917084,0.4198473393917084,22166.197265625,EigenWorms_dim64_depth3_mask0.4_patch4496_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_10_03_24
EigenWorms,32,3,0.4,450,3.0,True,True,True,True,0.7251908183097839,0.7251908183097839,1713.009765625,EigenWorms_dim32_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_10_16_18
EigenWorms,32,3,0.4,900,3.0,True,True,True,True,0.6641221642494202,0.6641221642494202,2766.822265625,EigenWorms_dim32_depth3_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_10_56_22
EigenWorms,32,3,0.4,1349,3.0,True,True,True,True,0.5877862572669983,0.5877862572669983,3828.634765625,EigenWorms_dim32_depth3_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_48_40
EigenWorms,32,3,0.4,1799,3.0,True,True,True,True,0.5190839767456055,0.5190839767456055,4894.384765625,EigenWorms_dim32_depth3_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_16_12
EigenWorms,32,3,0.4,2698,3.0,True,True,True,True,0.5038167834281921,0.5038167834281921,7027.322265625,EigenWorms_dim32_depth3_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_40_58
EigenWorms,32,3,0.4,3597,3.0,True,True,True,True,0.4885496199131012,0.4885496199131012,9160.947265625,EigenWorms_dim32_depth3_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_06_37
EigenWorms,32,3,0.4,4496,3.0,True,True,True,True,0.4198473393917084,0.4198473393917084,11295.259765625,EigenWorms_dim32_depth3_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_24_41
EigenWorms,32,3,0.4,450,2.0,True,True,True,True,0.7633587718009949,0.7633587718009949,1530.822265625,EigenWorms_dim32_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_38_07
EigenWorms,32,3,0.4,900,2.0,True,True,True,True,0.6793892979621887,0.6793892979621887,2584.509765625,EigenWorms_dim32_depth3_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_13_55
EigenWorms,32,3,0.4,1349,2.0,True,True,True,True,0.6259542107582092,0.6259542107582092,3646.384765625,EigenWorms_dim32_depth3_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_57_57
EigenWorms,32,3,0.4,1799,2.0,True,True,True,True,0.5190839767456055,0.5190839767456055,4712.134765625,EigenWorms_dim32_depth3_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_31_05
EigenWorms,32,3,0.4,2698,2.0,True,True,True,True,0.4885496199131012,0.4885496199131012,6845.009765625,EigenWorms_dim32_depth3_mask0.4_patch2698_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_58_49
EigenWorms,32,3,0.4,3597,2.0,True,True,True,True,0.4885496199131012,0.4885496199131012,8978.697265625,EigenWorms_dim32_depth3_mask0.4_patch3597_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_23_25
EigenWorms,32,3,0.4,4496,2.0,True,True,True,True,0.4580152630805969,0.4580152630805969,11113.009765625,EigenWorms_dim32_depth3_mask0.4_patch4496_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_44_27
EigenWorms,32,3,0.4,450,1.0,True,True,True,True,0.7786259651184082,0.7786259651184082,1348.572265625,EigenWorms_dim32_depth3_mask0.4_patch450_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_57_16
EigenWorms,32,3,0.4,900,1.0,True,True,True,True,0.580152690410614,0.580152690410614,2402.259765625,EigenWorms_dim32_depth3_mask0.4_patch900_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_40_47
EigenWorms,32,3,0.4,1349,1.0,True,True,True,True,0.6030534505844116,0.6030534505844116,3464.197265625,EigenWorms_dim32_depth3_mask0.4_patch1349_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_18_23_31
EigenWorms,32,3,0.4,1799,1.0,True,True,True,True,0.4885496199131012,0.4885496199131012,4529.884765625,EigenWorms_dim32_depth3_mask0.4_patch1799_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_18_59_20
EigenWorms,32,3,0.4,2698,1.0,True,True,True,True,0.47328245639801025,0.47328245639801025,6662.822265625,EigenWorms_dim32_depth3_mask0.4_patch2698_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_18_43
EigenWorms,32,3,0.4,3597,1.0,True,True,True,True,0.47328245639801025,0.47328245639801025,8796.447265625,EigenWorms_dim32_depth3_mask0.4_patch3597_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_43_56
EigenWorms,32,3,0.4,4496,1.0,True,True,True,True,0.4656488597393036,0.4656488597393036,10930.759765625,EigenWorms_dim32_depth3_mask0.4_patch4496_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_01_24
EigenWorms,256,2,0.4,450,3.0,True,True,True,True,0.7938931584358215,0.7938931584358215,31976.423828125,EigenWorms_dim256_depth2_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_20_12_31
EigenWorms,256,2,0.4,900,3.0,True,True,True,True,0.694656491279602,0.694656491279602,40406.486328125,EigenWorms_dim256_depth2_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_20_35_42
EigenWorms,256,2,0.4,1349,3.0,True,True,True,True,0.6106870174407959,0.6106870174407959,48901.423828125,EigenWorms_dim256_depth2_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_20_59_22
EigenWorms,256,2,0.4,1799,3.0,True,True,True,True,0.5572519302368164,0.5572519302368164,57427.423828125,EigenWorms_dim256_depth2_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_21_10
EigenWorms,256,2,0.4,2698,3.0,True,True,True,True,0.4580152630805969,0.4580152630805969,74490.423828125,EigenWorms_dim256_depth2_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_40_08
EigenWorms,256,2,0.4,3597,3.0,True,True,True,True,0.4656488597393036,0.4656488597393036,91559.423828125,EigenWorms_dim256_depth2_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_50_04
EigenWorms,256,2,0.4,4496,3.0,True,True,True,True,0.442748099565506,0.442748099565506,108634.423828125,EigenWorms_dim256_depth2_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_58_51
EigenWorms,256,2,0.4,450,2.0,True,True,True,True,0.7938931584358215,0.7938931584358215,24284.423828125,EigenWorms_dim256_depth2_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_22_07_37
EigenWorms,256,2,0.4,900,2.0,True,True,True,True,0.6488549709320068,0.6488549709320068,32714.423828125,EigenWorms_dim256_depth2_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_22_23_38
EigenWorms,256,2,0.4,1349,2.0,True,True,True,True,0.6641221642494202,0.6641221642494202,41209.486328125,EigenWorms_dim256_depth2_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_22_41_15
EigenWorms,256,2,0.4,1799,2.0,True,True,True,True,0.5877862572669983,0.5877862572669983,49735.423828125,EigenWorms_dim256_depth2_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_23_05_32
