data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.1,0.5,euclidean,False,linear,0.75,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.1,0.5,euclidean,False,linear,0.5,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,2.0,euclidean,False,linear,1.0,0.48,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,2.0,euclidean,False,linear,0.75,0.48,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,2.0,euclidean,False,linear,0.5,0.48,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,1.0,euclidean,False,linear,1.0,0.34,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,1.0,euclidean,False,linear,0.75,0.34,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,1.0,euclidean,False,linear,0.5,0.34,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,0.5,euclidean,False,linear,1.0,0.32,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,0.5,euclidean,False,linear,0.75,0.32,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.1,0.0,0.5,euclidean,False,linear,0.5,0.32,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,2.0,euclidean,False,linear,1.0,0.48,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,2.0,euclidean,False,linear,0.75,0.48,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,2.0,euclidean,False,linear,0.5,0.48,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,1.0,euclidean,False,linear,1.0,0.32,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,1.0,euclidean,False,linear,0.75,0.32,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,1.0,euclidean,False,linear,0.5,0.32,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,0.5,euclidean,False,linear,1.0,0.28,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,0.5,euclidean,False,linear,0.75,0.28,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,1.0,0.5,euclidean,False,linear,0.5,0.28,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,2.0,euclidean,False,linear,1.0,0.52,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,2.0,euclidean,False,linear,0.75,0.52,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,2.0,euclidean,False,linear,0.5,0.52,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,1.0,euclidean,False,linear,1.0,0.4,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,1.0,euclidean,False,linear,0.75,0.4,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,1.0,euclidean,False,linear,0.5,0.4,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,0.5,euclidean,False,linear,1.0,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,0.5,euclidean,False,linear,0.75,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.1,0.5,euclidean,False,linear,0.5,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,2.0,euclidean,False,linear,1.0,0.5,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,2.0,euclidean,False,linear,0.75,0.5,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,2.0,euclidean,False,linear,0.5,0.5,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,1.0,euclidean,False,linear,1.0,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,1.0,euclidean,False,linear,0.75,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,1.0,euclidean,False,linear,0.5,0.36,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,0.5,euclidean,False,linear,1.0,0.2,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,0.5,euclidean,False,linear,0.75,0.2,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,15,0.0,0.0,0.5,euclidean,False,linear,0.5,0.2,12879080,49.14
DuckDuckGeese,InterpretGN,270,FCN,10,1.0,1.0,2.0,euclidean,False,linear,1.0,0.66,9133255,34.85
DuckDuckGeese,InterpretGN,270,FCN,10,1.0,1.0,2.0,euclidean,False,linear,0.75,0.66,9133255,34.85
DuckDuckGeese,InterpretGN,270,FCN,10,1.0,1.0,2.0,euclidean,False,linear,0.5,0.66,9133255,34.85
DuckDuckGeese,InterpretGN,270,FCN,10,1.0,1.0,1.0,euclidean,False,linear,1.0,0.5,9133255,34.85
